자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,대치동,128.03,315000
강남구,일원동,326.52,400000
강남구,일원동,326.52,400000
강남구,도곡동,134.902,410000
강남구,도곡동,164.97,437000
강남구,도곡동,164.97,437000
강남구,대치동,151.31,489000
강남구,일원동,101.97,223000
강남구,일원동,134.438,248000
강남구,개포동,132.991,480000
강남구,대치동,151.31,489000
강남구,개포동,102.32,317500
강남구,일원동,107.6,195000
강남구,일원동,107.6,199000
강남구,압구정동,157.36,600000
강남구,도곡동,120.823,339000
강남구,역삼동,92.623,270000
강남구,삼성동,93.65,146000
강남구,대치동,161.36,413000
강남구,역삼동,176.03,219000
강남구,논현동,141.05,189000
강남구,신사동,90.94,162500
강남구,대치동,127.78,413000
강남구,역삼동,171.944,335000
강남구,압구정동,115.23,420000
강남구,역삼동,111.86,167500
강남구,도곡동,174.67,555000
강남구,자곡동,101.18,173000
강남구,개포동,161.0,337000
강남구,일원동,101.97,285000
강남구,논현동,114.34,206000
강남구,도곡동,198.13,320000
강남구,압구정동,210.1,835000
강남구,청담동,138.56,410000
강남구,도곡동,134.902,400000
강남구,논현동,244.66,560000
강남구,대치동,120.76,295000
강남구,삼성동,215.45,263000
강남구,삼성동,215.45,263000
강남구,도곡동,120.823,339000
강남구,도곡동,164.99,440000
강남구,대치동,126.33,356500
강남구,일원동,134.438,250000
강남구,세곡동,95.896,247000
강남구,도곡동,163.702,480000
강남구,개포동,105.806,231000
강남구,삼성동,89.03,135000
강남구,도곡동,128.74,235000
강남구,역삼동,133.168,320000
강남구,대치동,110.39,290000
강남구,수서동,97.63,170000
강남구,일원동,107.6,195000
강남구,삼성동,101.81,288000
강남구,논현동,209.54,210000
강남구,도곡동,152.74,363000
강남구,역삼동,92.623,252000
강남구,압구정동,116.94,415000
강남구,개포동,112.991,408000
강남구,개포동,123.28,310000
강남구,청담동,162.11,190000
강남구,대치동,126.33,362000
강남구,대치동,594.93,960000
강남구,대치동,91.89,330000
강남구,일원동,134.438,252500
강남구,대치동,136.68,418000
강남구,대치동,117.7,365000
강남구,대치동,127.78,400000
강남구,도곡동,164.99,415000
강남구,대치동,127.78,408000
강남구,도곡동,206.1,200000
강남구,대치동,121.74,430000
강남구,자곡동,101.18,182000
강남구,대치동,121.089,290000
강남구,압구정동,144.7,530000
강남구,대치동,115.05,328000
강남구,도곡동,122.81,271000
강남구,개포동,96.913,369500
강남구,도곡동,152.74,369000
강남구,대치동,128.01,340000
강남구,압구정동,105.45,445000
강남구,압구정동,144.2,539000
강남구,압구정동,157.36,588500
강남구,논현동,281.57,450000
강남구,도곡동,119.89,320000
강남구,개포동,96.913,369500
강남구,도곡동,164.97,400000
강남구,개포동,112.854,400000
강남구,도곡동,134.902,389000
강남구,도곡동,122.81,270000
강남구,도곡동,124.66,220000
강남구,도곡동,120.823,325000
강남구,도곡동,130.259,262000
강남구,도곡동,164.99,443000
강남구,자곡동,101.51,174000
강남구,삼성동,123.97,248000
강남구,역삼동,114.019,305000
강남구,대치동,114.14,487000
강남구,개포동,108.092,235000
강남구,삼성동,134.81,329000
강남구,자곡동,114.32,151000
강남구,대치동,94.49,367000
강남구,청담동,138.56,395000
강남구,압구정동,140.9,455000
강남구,도곡동,172.467,285000
강남구,청담동,325.5,1150000
강남구,압구정동,183.41,690000
강남구,논현동,97.18,152500
강남구,도곡동,120.823,344000
강남구,청담동,113.21,229000
강남구,수서동,97.63,166500
강남구,개포동,105.806,229000
강남구,도곡동,134.902,405000
강남구,대치동,110.39,290000
강남구,도곡동,93.07,300000
강남구,도곡동,122.81,290000
강남구,청담동,114.83,225000
강남구,대치동,117.7,359500
강남구,청담동,180.67,360000
강남구,압구정동,131.49,503000
강남구,압구정동,196.7,710000
강남구,대치동,85.0,236000
강남구,논현동,200.46,820000
강남구,압구정동,175.92,590000
강남구,청담동,109.31,200000
강남구,대치동,128.01,360000
강남구,삼성동,134.81,320000
강남구,청담동,109.31,200000
강남구,개포동,131.83,305000
강남구,개포동,131.83,305000
강남구,압구정동,175.92,595000
강남구,논현동,1324.03,1500000
강남구,도곡동,137.24,355000
강남구,도곡동,122.81,287000
강남구,압구정동,107.16,410000
강남구,대치동,127.75,400000
강남구,압구정동,182.95,750000
강남구,삼성동,111.42,125000
강남구,청담동,134.24,255000
강남구,압구정동,196.7,630000
강남구,대치동,117.7,351000
강남구,개포동,99.967,321000
강남구,일원동,107.6,189300
강남구,도곡동,119.89,334000
강남구,청담동,241.0,890000
강남구,개포동,112.854,400000
강남구,세곡동,114.69,159000
강남구,압구정동,117.91,570000
강남구,세곡동,114.69,159000
강남구,대치동,105.18,200000
강남구,도곡동,174.67,560000
강남구,도곡동,164.99,410000
강남구,논현동,220.85,220000
강남구,청담동,194.13,522000
강남구,논현동,220.85,220000
강남구,대치동,94.49,377000
강남구,압구정동,121.18,480000
강남구,대치동,128.03,308000
강남구,청담동,194.13,522000
